Dates,Open,High,Low,Close,Volume,MarketCap
03-01-2023,0.9996,1,0.9992,0.9998,"9,69,81,607","5,75,97,13,141"
02-01-2023,0.9998,1,0.9992,0.9995,"8,89,33,627","5,75,51,06,573"
01-01-2023,0.9998,1,0.9991,0.9998,"8,60,42,718","5,74,95,46,794"
31-12-2022,1,1,0.9993,0.9998,"9,37,32,789","5,75,67,64,961"
30-12-2022,1,1,0.9988,0.9999,"12,56,10,960","5,76,16,92,207"
29-12-2022,0.9999,1,0.9986,1,"15,71,05,170","5,77,59,90,974"
28-12-2022,0.9996,1,0.9987,1,"29,27,51,778","5,78,49,39,131"
27-12-2022,0.9999,1,0.9989,0.9997,"17,47,26,661","5,82,15,30,158"
26-12-2022,1,1,0.9991,0.9999,"11,05,98,029","5,83,57,52,348"
25-12-2022,0.9999,1,0.9989,1,"9,85,90,278","5,84,75,86,517"
24-12-2022,0.9995,1,0.9992,0.9999,"6,40,47,841","5,85,61,14,842"
23-12-2022,1,1,0.9991,0.9996,"13,98,31,984","5,85,26,79,947"
22-12-2022,1,1,0.9986,1,"15,20,12,406","5,86,43,76,959"
21-12-2022,0.9997,1,0.9989,0.9999,"13,38,32,993","5,87,26,75,221"
20-12-2022,0.9994,1,0.9989,0.9997,"18,70,23,130","5,86,87,07,933"
19-12-2022,0.999,1,0.9977,0.9994,"12,94,81,276","5,84,46,59,138"
18-12-2022,0.9999,1,0.9989,0.999,"9,58,42,181","5,83,94,53,022"
17-12-2022,0.9994,1,0.9985,0.9999,"12,22,94,487","5,84,48,69,823"
16-12-2022,0.9996,1,0.9969,0.9994,"24,79,88,761","5,81,94,18,388"
15-12-2022,0.9996,1,0.9983,0.9996,"15,87,06,652","5,82,49,33,890"
14-12-2022,1,1,0.9978,0.9996,"19,33,79,597","5,84,75,77,057"
13-12-2022,1,1,0.9987,0.9999,"29,87,58,727","5,86,09,77,967"
12-12-2022,0.9997,1,0.999,1,"16,98,32,003","5,86,03,48,938"
11-12-2022,1,1,0.999,0.9997,"15,84,92,142","5,87,06,63,182"
10-12-2022,0.9996,1,0.9993,1,"10,83,31,350","5,87,80,83,048"
09-12-2022,0.9999,1,0.9991,0.9996,"10,77,06,939","5,87,10,16,643"
08-12-2022,0.9997,1,0.9992,0.9999,"15,74,12,755","5,87,10,50,407"
07-12-2022,0.9999,1,0.9976,0.9997,"22,26,71,626","5,86,17,06,718"
06-12-2022,0.9999,1,0.9988,0.9999,"17,57,76,988","5,87,82,46,179"
05-12-2022,1,1,0.9984,0.9999,"18,24,89,661","5,68,63,38,012"
04-12-2022,0.9994,1,0.9992,1,"17,06,79,905","5,68,77,16,800"
03-12-2022,1,1,0.9988,0.9996,"13,97,70,008","5,68,74,47,981"
02-12-2022,0.9997,1,0.9984,1,"22,27,32,543","5,68,93,04,061"
01-12-2022,0.9995,1,0.9991,0.9995,"22,63,24,772","5,66,08,55,403"
30-11-2022,0.9997,1,0.999,0.9995,"33,23,56,663","5,67,13,67,954"
29-11-2022,0.9998,1,0.9992,0.9997,"23,87,19,727","5,64,37,14,300"
28-11-2022,0.9994,1,0.998,0.9998,"24,37,45,243","5,66,21,26,386"
27-11-2022,0.9999,1,0.9991,0.9995,"14,46,65,197","5,68,63,12,479"
26-11-2022,1,1,0.9994,0.9999,"18,21,51,995","5,73,23,93,082"
25-11-2022,1,1,0.9991,1,"23,43,11,698","5,72,05,55,485"
24-11-2022,1,1,0.999,1,"37,19,82,558","5,72,01,80,898"
23-11-2022,1,1,0.9993,1,"32,91,77,661","5,74,83,71,543"
22-11-2022,1,1,0.999,1,"34,79,57,514","5,84,41,85,913"
21-11-2022,1,1,0.9986,1,"39,21,66,608","5,84,21,91,262"
20-11-2022,1,1,0.9988,1,"30,38,83,492","5,88,13,83,183"
19-11-2022,1,1,0.9997,1,"20,65,63,619","5,89,97,62,725"
18-11-2022,1,1,0.9991,1,"20,54,30,700","5,89,55,27,720"
17-11-2022,1,1,0.9991,1,"30,14,56,417","5,91,57,02,743"
16-11-2022,1,1,0.9988,1,"40,71,88,046","5,89,08,31,068"
15-11-2022,1,1,0.9989,1,"33,75,87,740","5,91,00,68,667"
14-11-2022,1,1,0.9983,1,"43,01,97,100","5,94,32,83,958"
13-11-2022,1,1,0.9989,1,"29,34,33,918","5,92,83,56,117"
12-11-2022,1,1,0.9991,1,"28,91,50,844","5,91,53,28,368"
11-11-2022,1,1,0.9985,1,"48,46,93,123","5,87,13,29,025"
10-11-2022,1,1.01,0.9991,1,"1,04,22,29,927","5,86,57,40,699"
09-11-2022,0.9996,1,0.9941,1,"94,43,22,299","5,95,92,75,198"
08-11-2022,1,1,0.9904,0.9996,"65,10,16,874","6,21,05,06,394"
07-11-2022,0.9995,1,0.9989,1,"30,84,45,099","6,24,86,98,771"
06-11-2022,0.9999,1,0.9987,0.9992,"24,69,46,435","6,17,30,08,698"
05-11-2022,0.9997,1,0.9989,1,"20,50,28,353","6,18,10,43,890"
04-11-2022,1,1,0.9985,0.9998,"34,31,12,607","6,14,19,92,241"
03-11-2022,1,1,0.9988,1,"24,42,08,655","6,12,77,05,802"
02-11-2022,0.9999,1,0.9986,1,"29,61,03,759","6,12,61,43,879"
01-11-2022,0.9999,1,0.999,0.9999,"21,01,87,761","6,11,37,46,795"
31-10-2022,1,1,0.9983,0.9999,"33,24,71,867","6,14,11,84,583"
30-10-2022,1,1,0.9989,1,"22,58,86,754","6,23,64,93,343"
