Dates,Open ,High,Low,Close ,Volume,MarketCapita
31-10-2022,"1,590.48","1,630.45","1,555.92","1,572.71","19,30,69,19,714","1,92,45,91,45,336"
30-10-2022,"1,619.70","1,637.04","1,579.49","1,590.78","13,93,00,73,427","1,94,67,03,01,517"
29-10-2022,"1,555.27","1,652.38","1,549.98","1,619.70","21,61,81,54,775","1,98,20,87,58,107"
28-10-2022,"1,514.32","1,568.63","1,493.87","1,555.48","19,97,46,23,205","1,90,34,98,37,407"
27-10-2022,"1,566.84","1,574.40","1,510.82","1,514.37","22,81,34,99,245","1,85,31,99,02,025"
26-10-2022,"1,461.13","1,584.64","1,460.43","1,566.57","32,70,55,48,427","1,91,70,68,11,085"
25-10-2022,"1,344.71","1,509.99","1,336.98","1,461.67","25,36,72,91,294","1,78,86,96,45,044"
24-10-2022,"1,363.49","1,368.43","1,327.85","1,345.00","13,09,28,20,173","1,64,59,26,61,444"
23-10-2022,"1,314.25","1,367.76","1,302.91","1,363.45","9,90,95,10,925","1,66,85,02,84,146"
22-10-2022,"1,299.90","1,317.10","1,295.95","1,314.30","7,17,53,24,564","1,60,83,58,74,209"
21-10-2022,"1,283.19","1,305.08","1,260.67","1,299.95","10,41,25,65,245","1,59,07,94,68,497"
20-10-2022,"1,285.66","1,307.86","1,275.32","1,283.20","9,00,91,11,996","1,57,03,02,54,550"
19-10-2022,"1,310.56","1,312.44","1,283.97","1,285.74","8,35,06,92,785","1,57,34,14,86,087"
18-10-2022,"1,331.67","1,339.09","1,291.66","1,310.45","10,41,67,47,806","1,60,36,44,66,786"
17-10-2022,"1,306.31","1,335.65","1,297.45","1,331.71","9,40,11,89,650","1,62,96,69,39,318"
16-10-2022,"1,275.01","1,312.63","1,275.01","1,306.30","7,49,16,25,206","1,59,85,65,64,472"
15-10-2022,"1,297.31","1,300.75","1,268.47","1,274.87","6,79,85,12,624","1,56,56,94,08,718"
14-10-2022,"1,288.05","1,339.74","1,285.38","1,297.42","13,11,37,67,755","1,59,32,02,75,670"
13-10-2022,"1,294.92","1,297.56","1,209.28","1,288.12","17,49,90,38,202","1,58,16,00,24,665"
12-10-2022,"1,279.73","1,303.08","1,277.53","1,294.91","8,35,56,38,578","1,58,97,42,60,182"
11-10-2022,"1,291.11","1,296.27","1,272.74","1,279.58","9,27,48,45,260","1,57,07,38,07,505"
10-10-2022,"1,322.62","1,335.66","1,291.34","1,291.34","8,79,44,91,050","1,58,49,91,28,157"
09-10-2022,"1,315.46","1,327.67","1,309.34","1,322.60","5,48,62,30,123","1,62,31,78,60,621"
08-10-2022,"1,332.37","1,335.95","1,307.07","1,315.50","5,80,46,76,208","1,61,42,71,90,438"
07-10-2022,"1,351.84","1,359.33","1,321.75","1,332.52","10,06,16,19,355","1,63,49,62,05,911"
06-10-2022,"1,352.81","1,380.40","1,349.45","1,351.71","12,03,35,14,861","1,65,83,17,63,020"
05-10-2022,"1,361.97","1,362.45","1,320.86","1,352.84","9,77,44,51,820","1,65,95,07,37,480"
04-10-2022,"1,323.28","1,364.97","1,320.08","1,362.13","10,13,97,74,963","1,67,07,08,04,931"
03-10-2022,"1,276.16","1,326.55","1,271.15","1,323.44","10,15,30,70,907","1,62,30,67,42,246"
02-10-2022,"1,311.75","1,316.33","1,275.34","1,276.09","7,57,83,51,650","1,56,48,19,92,825"
01-10-2022,"1,328.19","1,332.52","1,306.10","1,311.64","6,22,79,61,237","1,60,82,26,30,103"
30-09-2022,"1,335.65","1,368.74","1,320.38","1,327.98","14,25,01,00,093","1,62,80,64,30,081"
29-09-2022,"1,337.55","1,348.11","1,293.19","1,335.65","13,79,69,15,736","1,63,72,80,77,713"
28-09-2022,"1,329.54","1,351.96","1,267.87","1,337.41","18,99,49,79,566","1,63,92,45,04,661"
27-09-2022,"1,335.34","1,396.89","1,308.99","1,330.13","17,87,05,98,937","1,63,01,27,62,381"
26-09-2022,"1,294.39","1,335.53","1,282.05","1,335.32","16,03,45,49,271","1,63,63,00,53,852"
25-09-2022,"1,317.94","1,333.37","1,275.63","1,294.22","11,80,26,51,633","1,58,57,47,40,489"
24-09-2022,"1,328.24","1,346.26","1,312.64","1,317.99","12,09,82,09,717","1,61,46,90,74,852"
23-09-2022,"1,327.48","1,353.29","1,270.20","1,328.26","18,77,11,06,339","1,62,70,77,64,850"
22-09-2022,"1,251.57","1,336.16","1,240.97","1,327.68","18,46,15,27,259","1,62,61,77,61,176"
21-09-2022,"1,324.22","1,384.48","1,229.43","1,252.61","20,64,35,07,800","1,53,40,47,99,858"
20-09-2022,"1,377.62","1,381.97","1,319.20","1,324.39","14,72,23,17,220","1,62,17,69,44,253"
19-09-2022,"1,335.27","1,388.27","1,287.42","1,377.54","18,71,27,14,223","1,68,66,60,96,121"
18-09-2022,"1,469.71","1,469.71","1,331.49","1,335.33","15,76,22,84,723","1,63,47,86,13,612"
17-09-2022,"1,432.88","1,473.06","1,415.04","1,469.74","10,79,80,98,671","1,79,91,31,95,987"
16-09-2022,"1,471.93","1,480.56","1,415.58","1,432.45","16,76,48,04,299","1,75,32,58,80,263"
15-09-2022,"1,635.08","1,648.95","1,466.14","1,471.69","26,94,62,75,878","1,80,11,02,91,828"
14-09-2022,"1,574.86","1,642.16","1,564.03","1,634.76","17,89,71,50,206","2,00,04,42,00,374"
13-09-2022,"1,713.96","1,745.78","1,564.03","1,580.79","23,06,68,21,734","1,93,42,23,16,198"
11-09-2022,"1,775.98","1,782.73","1,730.16","1,761.80","12,46,43,01,922","2,15,52,39,20,726"
10-09-2022,"1,718.96","1,784.50","1,710.30","1,776.20","13,13,09,28,217","2,17,26,34,95,408"
09-09-2022,"1,635.19","1,735.81","1,632.84","1,719.09","20,24,23,23,690","2,10,25,51,58,290"
08-09-2022,"1,629.81","1,655.06","1,603.06","1,635.35","17,62,10,46,717","1,99,99,26,30,006"
07-09-2022,"1,560.91","1,651.05","1,500.01","1,629.91","19,56,03,63,854","1,99,30,58,81,390"
06-09-2022,"1,617.24","1,680.60","1,561.75","1,561.75","22,94,60,59,125","1,90,94,95,80,969"
05-09-2022,"1,577.88","1,621.66","1,559.78","1,617.18","13,06,05,41,168","1,97,70,79,16,936"
04-09-2022,"1,556.90","1,578.01","1,543.70","1,577.64","8,88,41,44,998","1,92,85,33,81,586"
03-09-2022,"1,577.21","1,579.45","1,541.67","1,556.87","9,51,68,25,994","1,90,29,41,20,192"
02-09-2022,"1,586.02","1,643.18","1,551.88","1,577.22","17,70,84,78,709","1,92,76,07,41,606"
01-09-2022,"1,553.76","1,593.08","1,520.19","1,586.18","16,43,42,76,817","1,93,83,44,54,492"
31-08-2022,"1,524.29","1,612.36","1,524.29","1,553.68","20,59,16,80,941","1,89,84,35,90,076"
30-08-2022,"1,553.19","1,600.46","1,480.83","1,523.84","21,83,57,84,470","1,86,17,67,38,543"
29-08-2022,"1,430.44","1,556.31","1,427.73","1,553.04","17,96,58,37,488","1,89,72,21,96,186"
28-08-2022,"1,491.21","1,505.79","1,430.55","1,430.55","12,82,35,72,918","1,74,74,13,15,285"
27-08-2022,"1,508.16","1,517.15","1,454.28","1,491.40","18,12,08,31,899","1,82,15,43,72,411"
26-08-2022,"1,696.32","1,698.56","1,498.77","1,507.78","26,71,37,10,143","1,84,13,62,47,398"
25-08-2022,"1,657.34","1,718.18","1,656.86","1,696.46","14,81,87,95,695","2,07,15,55,39,271"
24-08-2022,"1,662.70","1,686.56","1,610.10","1,657.06","16,78,09,32,907","2,02,32,33,03,041"
23-08-2022,"1,622.94","1,666.68","1,569.43","1,662.77","18,32,20,41,914","2,02,99,87,58,195"
22-08-2022,"1,619.17","1,622.78","1,535.01","1,622.51","18,55,70,78,599","1,98,06,13,89,785"
21-08-2022,"1,576.54","1,640.94","1,569.05","1,619.32","15,84,92,21,752","1,97,65,09,70,990"
20-08-2022,"1,612.65","1,652.22","1,534.30","1,577.00","18,33,45,80,263","1,92,46,50,75,466"
19-08-2022,"1,847.10","1,847.10","1,611.34","1,612.99","25,90,63,58,731","1,96,83,52,22,643"
18-08-2022,"1,833.72","1,876.38","1,826.96","1,847.01","14,99,93,52,229","2,25,36,87,17,991"
17-08-2022,"1,877.93","1,951.68","1,823.53","1,833.00","20,30,85,08,124","2,23,63,52,40,252"
16-08-2022,"1,902.83","1,910.75","1,862.27","1,878.14","15,63,75,78,930","2,29,11,78,13,779"
15-08-2022,"1,936.76","2,007.21","1,881.86","1,904.23","20,34,99,31,313","2,32,27,49,42,657"
14-08-2022,"1,981.78","2,022.79","1,919.01","1,936.80","14,06,27,54,456","2,36,22,28,71,624"
13-08-2022,"1,957.33","2,013.76","1,948.60","1,981.34","16,03,89,75,216","2,41,62,80,50,424"
12-08-2022,"1,880.90","1,957.55","1,860.08","1,957.25","17,16,81,41,904","2,38,66,41,95,002"
11-08-2022,"1,851.83","1,927.94","1,851.83","1,881.22","23,82,69,86,482","2,29,36,91,48,921"
10-08-2022,"1,702.91","1,869.40","1,665.09","1,851.74","23,51,24,77,984","2,25,75,00,54,993"
09-08-2022,"1,776.07","1,786.12","1,675.85","1,703.03","16,36,86,19,692","2,07,59,70,34,307"
08-08-2022,"1,699.69","1,806.89","1,697.41","1,775.52","16,84,14,24,404","2,16,40,97,62,110"
07-08-2022,"1,691.78","1,724.79","1,672.91","1,699.35","10,25,20,90,340","2,07,10,36,11,495"
06-08-2022,"1,732.66","1,744.33","1,691.66","1,691.66","11,75,79,11,705","2,06,14,33,02,111"
05-08-2022,"1,607.52","1,732.25","1,606.50","1,732.25","18,54,64,91,876","2,11,06,70,71,405"
04-08-2022,"1,618.89","1,658.51","1,585.33","1,608.21","14,46,74,40,626","1,95,93,04,17,589"
03-08-2022,"1,633.05","1,678.10","1,595.63","1,618.87","16,78,62,18,830","1,97,20,85,40,575"
02-08-2022,"1,634.65","1,672.63","1,567.85","1,632.95","20,42,60,82,309","1,98,90,08,03,868"
01-08-2022,"1,681.45","1,700.17","1,613.42","1,635.20","16,19,13,71,176","1,99,15,27,80,196"
31-07-2022,"1,695.88","1,745.88","1,672.61","1,681.52","14,20,07,35,370","2,04,77,17,22,889"
30-07-2022,"1,727.06","1,738.02","1,678.11","1,695.97","15,57,69,77,870","2,06,50,87,72,876"
29-07-2022,"1,725.62","1,759.88","1,662.79","1,727.41","23,24,95,31,113","2,10,31,34,98,732"
28-07-2022,"1,636.23","1,774.58","1,604.89","1,725.47","27,23,13,99,966","2,10,05,04,35,904"
27-07-2022,"1,443.73","1,636.80","1,423.62","1,636.23","23,00,75,24,016","1,99,16,88,22,142"
26-07-2022,"1,445.15","1,445.15","1,362.95","1,441.81","18,23,85,63,509","1,75,48,30,10,010"
25-07-2022,"1,599.16","1,605.34","1,445.38","1,445.38","20,58,50,56,021","1,75,89,88,51,084"
24-07-2022,"1,549.22","1,654.43","1,548.67","1,599.48","17,21,78,49,557","1,94,63,01,91,920"
23-07-2022,"1,536.46","1,591.63","1,495.68","1,549.30","14,99,88,11,383","1,88,50,34,96,052"
22-07-2022,"1,576.75","1,641.21","1,523.64","1,537.41","18,92,61,00,582","1,87,03,55,68,058"
21-07-2022,"1,520.37","1,595.76","1,472.19","1,576.75","20,00,95,56,587","1,91,80,07,49,216"
20-07-2022,"1,542.95","1,612.65","1,500.80","1,520.20","22,94,27,08,340","1,84,90,12,73,324"
19-07-2022,"1,578.38","1,607.03","1,501.80","1,542.98","27,75,35,29,276","1,87,65,06,24,168"
18-07-2022,"1,338.81","1,578.72","1,338.81","1,578.72","27,44,04,20,623","1,91,97,59,62,096"
17-07-2022,"1,353.21","1,378.42","1,329.76","1,338.64","16,07,97,11,737","1,62,76,31,36,860"
16-07-2022,"1,232.79","1,377.94","1,195.61","1,352.63","18,36,40,13,796","1,64,44,62,16,964"
15-07-2022,"1,191.67","1,275.78","1,182.90","1,233.13","17,41,14,48,225","1,49,90,15,81,969"
14-07-2022,"1,113.52","1,202.95","1,077.41","1,191.53","16,68,86,40,823","1,44,82,81,36,302"
13-07-2022,"1,038.19","1,113.59","1,019.22","1,113.59","18,30,25,88,147","1,35,33,83,29,618"
12-07-2022,"1,097.26","1,097.26","1,038.14","1,038.19","12,58,32,82,453","1,26,16,25,83,561"
11-07-2022,"1,168.14","1,169.19","1,095.00","1,097.24","12,06,41,80,410","1,33,32,28,14,436"
10-07-2022,"1,216.90","1,216.90","1,157.18","1,168.40","10,98,45,58,039","1,41,95,41,29,137"
09-07-2022,"1,222.31","1,228.77","1,209.38","1,216.98","8,82,13,53,104","1,47,83,94,84,293"
08-07-2022,"1,237.58","1,262.89","1,200.63","1,222.51","16,31,59,29,082","1,48,49,47,01,910"
07-07-2022,"1,186.96","1,246.89","1,165.62","1,237.59","14,23,07,95,894","1,50,31,03,28,517"
06-07-2022,"1,134.82","1,193.64","1,116.25","1,186.97","15,37,35,36,703","1,44,14,65,15,578"
05-07-2022,"1,150.51","1,165.68","1,086.83","1,134.54","16,19,55,18,291","1,37,76,36,39,219"
04-07-2022,"1,073.79","1,152.94","1,048.40","1,151.06","13,67,08,89,311","1,39,75,37,90,719"
03-07-2022,"1,066.47","1,083.42","1,044.01","1,073.77","8,55,72,48,150","1,30,35,49,20,626"
02-07-2022,"1,060.12","1,073.05","1,033.96","1,066.51","9,93,56,03,640","1,29,45,97,61,680"
01-07-2022,"1,068.32","1,100.22","1,040.15","1,059.77","17,49,94,53,625","1,28,62,64,59,283"
30-06-2022,"1,099.35","1,103.69","1,009.09","1,067.30","16,35,07,55,497","1,29,52,63,14,725"
29-06-2022,"1,144.52","1,152.68","1,092.10","1,098.94","15,38,62,86,815","1,33,35,37,94,241"
28-06-2022,"1,193.25","1,229.74","1,141.16","1,144.58","14,02,32,05,651","1,38,87,88,54,102"
27-06-2022,"1,199.71","1,234.18","1,179.79","1,193.68","12,49,22,25,250","1,44,82,33,90,350"
26-06-2022,"1,242.99","1,272.13","1,199.41","1,199.83","12,09,66,07,824","1,45,55,62,15,206"
25-06-2022,"1,226.72","1,246.39","1,184.56","1,243.45","12,48,19,46,184","1,50,83,35,49,828"
24-06-2022,"1,143.20","1,238.62","1,134.51","1,226.84","16,98,15,52,654","1,48,80,59,51,210"
23-06-2022,"1,051.33","1,146.49","1,050.22","1,143.39","14,65,78,62,919","1,38,67,03,76,993"
22-06-2022,"1,125.37","1,126.26","1,049.76","1,051.42","15,01,05,93,493","1,27,50,52,09,522"
21-06-2022,"1,127.51","1,185.43","1,112.57","1,124.82","15,63,20,89,439","1,36,39,41,73,951"
20-06-2022,"1,127.66","1,159.99","1,066.11","1,127.64","19,73,96,91,429","1,36,72,28,71,084"
19-06-2022,993.4,"1,142.34",943.12,"1,127.66","21,79,54,81,981","1,36,71,08,15,910"
18-06-2022,"1,086.38","1,095.17",896.11,993.64,"21,65,54,06,608","1,20,45,10,36,891"
